beer_id,brew_id,beer,abv,ibu,ounces,style,style2
1,166,Dale's Pale Ale,0.065,65,12,American Pale Ale (APA),American Pale Ale (APA)
4,166,Gordon Ale (2009),0.087,85,12,American Double / Imperial IPA,American Double / Imperial IPA
5,166,Old Chub,0.08,35,12,Scottish Ale,NA
6,166,GUBNA Imperial IPA,0.099,100,12,American Double / Imperial IPA,American Double / Imperial IPA
7,166,Mama's Little Yella Pils,0.053,35,12,Czech Pilsener,NA
8,166,Ten Fidy Imperial Stout,0.099,98,12,Russian Imperial Stout,NA
9,368,Hell or High Watermelon Wheat,0.049,17,12,Fruit / Vegetable Beer,NA
10,368,Brew Free! or Die IPA,0.07,65,12,American IPA,American IPA
11,368,Monk's Blood,0.083,35,12,Belgian Dark Ale,NA
12,61,Furious,0.062,99,16,American IPA,American IPA
13,61,CynicAle,0.067,33,16,Saison / Farmhouse Ale,NA
14,61,Hell,0.051,20,16,Keller Bier / Zwickel Bier,NA
15,61,Abrasive Ale,0.0969999999999999,120,16,American Double / Imperial IPA,American Double / Imperial IPA
16,61,Bender,0.051,45,16,American Brown Ale,NA
17,61,Coffee Bender,0.051,45,16,American Brown Ale,NA
18,61,SurlyFest,0.055,34,16,Rye Beer,NA
19,61,Bitter Brewer,0.04,37,16,English Bitter,NA
20,371,Phoenix Pale Ale,0.051,40,12,American Pale Ale (APA),American Pale Ale (APA)
21,371,Pikeland Pils,0.049,44,12,German Pilsener,NA
22,371,Royal Weisse Ale,0.0559999999999999,11,12,Hefeweizen,NA
23,371,Dunkel Lager,0.053,21,12,Munich Dunkel Lager,NA
24,371,113 IPA,0.07,113,12,American IPA,American IPA
25,522,Siamese twin,0.085,NA,16,Dubbel,NA
26,530,Black Noddy Lager (Current),0.052,40,16,Schwarzbier,NA
27,530,Original Orange Blossom Ale (Current),0.0579999999999999,35,16,Herbed / Spiced Beer,NA
28,530,Tule Duck Red Ale (Current),0.062,42,16,American Amber / Red Ale,American Amber / Red Ale
29,530,Very Noddy Lager (Current),0.099,NA,16,Schwarzbier,NA
30,557,Urban Wilderness Pale Ale,0.049,NA,12,English Pale Ale,NA
31,375,Big Swell IPA,0.062,65,12,American IPA,American IPA
32,375,CoCoNut Porter,0.057,30,12,American Porter,NA
33,375,Bikini Blonde Lager,0.045,18,12,Munich Helles Lager,NA
34,336,Moose Drool Brown Ale (2009),0.051,26,12,American Brown Ale,NA
35,336,Montana Trout Slayer Ale (2009),0.05,35,12,American Pale Wheat Ale,American Pale Wheat Ale
36,155,Caldera IPA,0.061,94,12,American IPA,American IPA
37,155,Ashland Amber Ale,0.054,24,12,American Amber / Red Ale,American Amber / Red Ale
38,155,Caldera Pale Ale (2011),0.0559999999999999,55,12,American Pale Ale (APA),American Pale Ale (APA)
39,410,Sea Hag IPA (Current),0.062,NA,12,American IPA,American IPA
40,410,Atlantic Amber Ale (2007),0.05,NA,12,American Amber / Red Ale,American Amber / Red Ale
41,410,Elm City Lager (2007),0.05,NA,12,American Pilsner,NA
42,410,Gandhi-Bot Double IPA (16 oz.) (2010),0.088,85,16,American Double / Imperial IPA,American Double / Imperial IPA
43,410,668 Neighbor of the Beast (16 oz.) (2010),0.09,NA,16,Belgian Pale Ale,NA
44,118,Bombshell Blonde,0.05,20,12,American Blonde Ale,American Blonde Ale
45,118,Pine Belt Pale Ale,0.065,45,16,American Pale Ale (APA),American Pale Ale (APA)
46,118,Buried Hatchet Stout,0.083,50,12,Foreign / Export Stout,NA
47,481,Ballz Deep Double IPA,0.084,82,16,American Double / Imperial IPA,American Double / Imperial IPA
48,481,British Pale Ale,0.054,30,16,English Pale Ale,NA
49,556,Porkslap Pale Ale,0.043,NA,12,American Pale Ale (APA),American Pale Ale (APA)
50,556,Moo Thunder Stout,0.049,NA,12,Milk / Sweet Stout,NA
51,556,Snapperhead IPA,0.068,NA,12,American IPA,American IPA
52,556,Heinnieweisse Weissebier,0.049,NA,12,Hefeweizen,NA
53,428,Schlafly Summer Lager,0.045,17,12,Munich Helles Lager,NA
54,25,Osiris Pale Ale (2010),0.0559999999999999,50,16,American Pale Ale (APA),American Pale Ale (APA)
55,25,Sunlight Cream Ale,0.053,20,16,Cream Ale,NA
56,145,Whale's Tale Pale Ale,0.0559999999999999,NA,12,English Pale Ale,NA
57,84,Red Jacket Amber Ale,,NA,12,American Amber / Red Ale,American Amber / Red Ale
58,84,Pick Axe Blonde Ale,,NA,12,American Blonde Ale,American Blonde Ale
59,84,Lift Bridge Brown Ale,,NA,12,American Brown Ale,NA
60,84,Widow Maker Black Ale,,NA,12,American Brown Ale,NA
61,192,Supper Club Lager,,NA,12,American Pale Lager,NA
62,192,U.S. Pale Ale,0.05,NA,12,American Pale Ale (APA),American Pale Ale (APA)
63,192,Wisconsin Amber (2013),0.052,NA,12,Vienna Lager,NA
64,548,Liquid Amber Ale,,NA,12,American Amber / Red Ale,American Amber / Red Ale
65,437,Brooklyn Lager (12 oz.),0.052,NA,12,American Amber / Red Lager,NA
66,437,Brooklyn Lager (16 oz.),0.052,NA,16,American Amber / Red Lager,NA
67,264,Modus Hoperandi,0.068,65,12,American IPA,American IPA
68,264,ESB Special Ale,0.057,58,12,Extra Special / Strong Bitter (ESB),NA
69,264,Euphoria Pale Ale,0.061,NA,12,American Pale Ale (APA),American Pale Ale (APA)
70,264,True Blonde Ale,0.053,NA,12,American Blonde Ale,American Blonde Ale
71,82,Fat Tire Amber Ale (2008),0.052,18,12,American Amber / Red Ale,American Amber / Red Ale
72,82,Sunshine Wheat Beer (2009),0.048,NA,12,American Pale Wheat Ale,American Pale Wheat Ale
73,534,Real McCoy Amber Ale (Current),0.045,NA,12,American Amber / Red Ale,American Amber / Red Ale
74,534,Golden Trout Pilsner,0.042,NA,12,German Pilsener,NA
75,534,Epic IPA,0.065,NA,12,American IPA,American IPA
76,171,Poleeko Gold Pale Ale (2009),0.055,28,12,American Pale Ale (APA),American Pale Ale (APA)
77,171,Summer Solstice (2011),0.0559999999999999,4,12,Cream Ale,NA
78,171,Boont Amber Ale (2011),0.0579999999999999,15,12,American Amber / Red Ale,American Amber / Red Ale
79,51,Upslope India Pale Ale,0.072,NA,12,American IPA,American IPA
80,51,Upslope Pale Ale,0.0579999999999999,NA,12,American Pale Ale (APA),American Pale Ale (APA)
81,417,Hazed & Infused (2010),0.049,35,12,American Pale Ale (APA),American Pale Ale (APA)
82,544,Haywire Hefeweizen (2010),0.052,18,16,Hefeweizen,NA
83,391,Avalanche Ale,0.054,19,12,American Amber / Red Ale,American Amber / Red Ale
84,424,Rail Yard Ale (2009),0.052,NA,12,American Amber / Red Ale,American Amber / Red Ale
85,510,Cold Smoke Scotch Ale,0.065,11,16,Scotch Ale / Wee Heavy,NA
86,510,Double Haul IPA,0.065,65,16,American IPA,American IPA
